Title,Municipality,City,State,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
"Sheboygan Water Utility Filter Project #4901-12 - Sheboygan, WI",Sheboygan - Wisconsin,Sheboygan,Wisconsin,4225630,USD,,identified,85,Sheboygan Water Utility Board of Water Commissioners,2026-02-02,https://mccmeetings.blob.core.usgovcloudapi.net/sheboygnwi-pubu/MEET-Packet-ad8893f13bbb4e3384ba10bac69fcc33.pdf,https://sheboygan-wi.municodemeetings.com/,planning_stage,"WDNR SDWLP #4901-12 Filter Project funded with 100% loan of $4,225,630, indicating a major capital upgrade to water treatment plant filters for improved drinking water quality. Likely addresses filtration capacity or contaminant removal issues in water treatment processes. No specific problem, current turbidity, flows (e.g., annual pumpage 4,145,968,000 gallons in 2025), or population served detailed. Regulatory context: WDNR Safe Drinking Water Loan Program (SDWLP). Facility: Sheboygan Water Ut",,18.39,,3.1,2019-2023,,,,,,21326944-1cb8-43df-ad18-825ecb867ce9
South Tacoma Way 88th St S to North City Limits Storm Drainage Replacement and Roadway Reconstruction,Lakewood - Washington,Lakewood,Washington,3361777.2,USD,,identified,95,Lakewood City Council,2025-01-21,https://cityoflakewood.us/wp-content/uploads/2025/01/2025-01-21-Council-Regular-and-Study-Session-Agenda.pdf,https://cityoflakewood.us/city-council/city-council-agendas/,project_discussion,"The South Tacoma Way project from 88th St S to North City Limits involves replacement of existing storm drainage infrastructure as part of broader roadway improvements including curbs, sidewalks, bike lanes, pavement overlay, channelization, and traffic signal replacement at 84th/South Tacoma Way. Specific stormwater components include 2,720 LF of 12-inch diameter Schedule A Storm Sewer Pipe, 2 pipe repairs, 29 Catch Basin Type 1, 3 Concrete Inlets, 7 connections to existing drainage structures,",,,,4.9,2019-2023,,,,,,235bf13d-4b98-4180-b8f7-2197e1c39e22
Phenix City WWTP Clarifier Upgrades and Improvements,Phenix City - Alabama,Phenix City,Alabama,2302996,USD,,identified,90,,2025-02-06,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2025-02-06.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"No specific problem statement, operational challenges, or performance issues are detailed in the document for the WWTP clarifier upgrades. No technical data such as flow rates, capacities, contaminant levels (e.g., phosphorus, nitrogen, BOD, TSS), population served, infrastructure age, or current treatment processes are mentioned. No regulatory context, permit violations, compliance deadlines, or agencies (e.g., ADEM, EPA) are provided. The project is part of the Phenix City Utilities Wastewater",,2.84,,5.4,2019-2023,1976,48,2016,Original construction 1976 per city wastewater master plan. Major expansion/upgrade in 2016 per ADEM records and engineering reports.,No,57ab3033-04cb-4a5a-98c1-e4711f9852db
"Hemlock Filtration Plant Filter Bed Rehabilitation Project - Rochester, New York",Rochester - New York,Rochester,New York,2250000,USD,,identified,100,"People, Parks & Public Works Committee",2025-08-26,https://www.cityofrochester.gov/sites/default/files/2025-08/Council%20Meeting%20Agenda.pdf,https://www.cityofrochester.gov/departments/city-council/city-council-legislation-meeting-minutes-and-proceedings,project_discussion,"The Rochester City Council approved the authorization for the application and appropriation of grant funds specifically for the Hemlock Filtration Plant Filter Bed Rehabilitation Project under Int. No. 304. A bond ordinance was also approved for the issuance of $2,250,000 in bonds to finance a portion of the costs of the Hemlock Filtration Plant Filter Bed Rehabilitation Project under Int. No. 305. No specific problem statement detailing what's broken, failing, or violated is provided in the min",,,,1.4,2019-2023,,,,,,2b553547-72d6-4ada-9cf9-b833d03afca1
"Hemlock Filtration Plant Filter Bed Rehabilitation Project - Rochester, NY",Rochester - New York,Rochester,New York,2250000,USD,,identified,95,Rochester City Council,2025-08-26,https://www.cityofrochester.gov/sites/default/files/2025-09/Aug%2026%2C%202025%20worksheet.pdf,https://www.cityofrochester.gov/departments/city-council/city-council-legislation-meeting-minutes-and-proceedings,project_discussion,"The City of Rochester has authorized the application for and appropriation of grant funds, along with a bond ordinance for $2,250,000, to finance the Hemlock Filtration Plant Filter Bed Rehabilitation Project. This capital project involves rehabilitation of filter beds at the water treatment plant to maintain or improve drinking water treatment capacity and quality. No specific problem statement such as failing filter performance, contaminant breakthrough, or violations is provided. No technical",,,,1.4,2019-2023,,,,,,7a3d5480-0c7e-4da1-a547-758a5cfe8be8
Warren WWTP Main Pump Station Drywell Column Repair - City Contract WWTP-23-003,Warren - Michigan,Warren,Michigan,2179387.5,USD,,identified,95,City Council,2026-01-13,https://www.cityofwarren.org/wp-content/uploads/2026/01/City-Council-Meeting-January-13-2026-epacket_compressed.pdf,https://www.cityofwarren.org/government/city-council/,project_discussion,"The City of Warren is approving contract modification No. 3 and final for City Contract WWTP-23-003 at the Waste Water Treatment Plant, Main Pump Station Drywell Column Repair, resulting in a final contract amount of $2,179,387.50 and release of interest on retainage. No problem statement detailed, such as structural failure, performance issues, or operational challenges at the pump station. No technical data provided, including flow rates (ML/day, m³/s), capacities (hydraulic/organic), contamin",,,,2.5,2019-2023,,,,,,07494c1b-9a50-4e07-b716-88887a3139be
Evanston Unimproved Alleys Green Infrastructure Project - Low/Moderate Income Areas,Evanston - Illinois,Evanston,Illinois,2142933,USD,,identified,90,Administration & Public Works Committee,2025-02-24,https://cityofevanston.civicweb.net/filepro/document/415724/___City%20Council%20-%20Feb%2024%202025.docx?handle=C0E8A600D6C14E2C94897F83AB617468,https://www.cityofevanston.org/government/city-council-agendas-and-minutes,planning_stage,"The City of Evanston is authorizing a grant application for green infrastructure improvements to unimproved alleys in low/moderate income areas, aimed at stormwater management as part of capital improvements potentially reducing sewer system burdens. No specific problem statement regarding stormwater issues, flooding, or sewer overflows is provided. No technical data such as flow rates, capacities, pollutant levels, population served, or infrastructure age is mentioned. No regulatory context or ",,,,2.6,2019-2023,,,,,,afe47c72-815a-4cf9-bbeb-a1b36a02c5e2
Monroe WPCC VTSH Pumps #1 & 2 Replacement Project,Monroe - Louisiana,Monroe,Louisiana,1650000,USD,,identified,100,"City Council of the City of Monroe, Louisiana",2025-04-22,https://monroela.us/wp-content/uploads/2025/04/Council-Agenda04222025.pdf,https://monroela.us/government/city-council/city-council-meetings/,project_discussion,"The City of Monroe is seeking authorization to advertise for bids on the replacement of VTSH Pumps #1 and #2 at the Water Pollution Control Center (WPCC). No specific problem statement is detailed in the agenda, such as current pump failures, performance issues, or capacity constraints. No technical data is provided, including flow rates, capacities, contaminant levels, population served, infrastructure age, or existing treatment processes. No regulatory context, compliance issues, or deadlines ",,12,,-2.1,2019-2023,,,,,,bc57778d-804c-49e9-bcb6-3fc6475d8b27
"WPCC VTSH Pumps #1 & 2 Replacement Project - Monroe, Louisiana",Monroe - Louisiana,Monroe,Louisiana,1650000,USD,,identified,95,"City Council of the City of Monroe, Louisiana",2025-05-13,https://monroela.us/wp-content/uploads/2025/05/Council-Agenda05132025.pdf,https://monroela.us/government/city-council/city-council-meetings/,project_discussion,"The City of Monroe is considering a request from the Monroe Purchasing Division for authorization to advertise bids for the replacement of VTSH Pumps #1 & 2 at the WPCC (likely Water Pollution Control Center, a wastewater treatment facility). No specific problem statement is detailed, such as pump failures, performance issues, or operational challenges requiring replacement. No technical data is provided, including flow rates, capacities, contaminant levels, population served, infrastructure age",,12,,-2.1,2019-2023,,,,,,b2c47d50-f9a4-4cac-92cd-d282ec9e329c
Metro Wastewater Treatment Plant Dewatering Roll-Off Receiving Station Construction,Columbia - South Carolina,Columbia,South Carolina,1623292,USD,,identified,100,Columbia City Council Regular Meeting,2026-01-20,https://columbiacitysc.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1857,https://columbiacitysc.iqm2.com/Citizens/calendar.aspx,project_discussion,"The Columbia City Council approved a new construction contract for the Dewatering Roll-Off Receiving Station at the Metro Wastewater Treatment Plant. This capital infrastructure project involves building a new receiving station for dewatering roll-off operations at the wastewater treatment facility. No specific problem statement is detailed in the minutes, such as current performance issues or operational challenges with existing dewatering processes. No technical data is provided, including flo",,31.14,,3.6,2019-2023,1934,90,2016,"Original construction 1934 with major expansions/upgrades including 1974, 1995, 2016 headworks. Age calculated as 2024 - built_year.",,a2ae080f-b7ea-4739-8eda-e38778cda27b
"Meadowbrook Water Treatment Plant Improvements Project - Horn Lake, Mississippi",Horn Lake - Mississippi,Horn Lake,Mississippi,1260000,USD,,identified,95,Mayor and Board of Aldermen,2025-01-07,https://evogov.s3.us-west-2.amazonaws.com/meetings/193/agendas/32024.pdf,https://www.hornlake.org/meetingdashboard,project_discussion,"The Meadowbrook Water Treatment Plant requires improvements, leading to a construction contract award. Bids were received, with Landmark Construction General Contractor, Inc. submitting the lowest and best bid in the lump sum amount of $1,260,000.00. No specific problem statement was detailed, such as current performance issues, violations, or operational challenges requiring the upgrades. No technical data provided, including flow rates, capacities (hydraulic or organic), contaminant levels (e.",3.75,2.42,64.5,-1.7,2019-2023,,,,,No,6d0ca07f-6ffb-4d9c-874a-11432632fd19
Phenix City Wastewater Treatment Plant Digester 3 Rehabilitation,Phenix City - Alabama,Phenix City,Alabama,1204000,USD,,identified,95,,2019-01-17,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2019-01-17.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The Digester 3 at the Phenix City Wastewater Treatment Plant requires rehabilitation, listed as a major capital project currently in progress. The project cost is $1,204,000, indicating significant investment in wastewater treatment infrastructure. No specific problem statement details current performance issues, failures, or violations. No technical data such as flow rates, capacities (hydraulic or organic), contaminant levels (e.g., BOD, TSS, phosphorus), or population served is provided. No a",,2.84,,5.4,2019-2023,1972,52,2014,Original construction circa 1972 with major expansions/upgrades in 1995 and 2014 per city engineering reports and CSO documents.,,b91ba5fe-e3c9-4d9a-a68d-ea131b246e6c
"WPCC Headworks Structure Improvements Plans & Specifications - Monroe, Louisiana",Monroe - Louisiana,Monroe,Louisiana,1200000,USD,,identified,95,"City Council of the City of Monroe, Louisiana",2025-01-28,https://monroela.us/wp-content/uploads/2025/01/Council-Agenda01282025.pdf,https://monroela.us/government/city-council/city-council-meetings/,planning_stage,"The City of Monroe is seeking authorization to advertise for bids on plans and specifications for improvements to the headworks structure at the WPCC (likely Water Pollution Control Center or Wastewater Pollution Control Center). No specific problem statement is provided in the agenda item, such as current performance issues, violations, or operational challenges requiring these improvements. No technical data is mentioned, including flow rates, capacities, contaminant levels, population served,",,12,,-2.1,2019-2023,,,,,,5acfc8cb-4ccf-4a9f-a8b2-b0768258c932
"Phenix City Utilities Water and Sewer Mains Replacement and Infrastructure Upgrades - Older Areas, South/West Expansion, Northern Pumping Stations",Phenix City - Alabama,Phenix City,Alabama,1180889,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/2018/08/2017-Budget-Message.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The Utilities Division capital budget includes replacement of older water and sewer mains in older areas of the City as part of ongoing infrastructure improvements. This is within a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. The program continues with expansion of the sewer collection system to the south and west Phenix City and upgrades to pumping stations and lines in the northern areas. Plans are moving forw",,2.84,,5.4,2019-2023,,,,,,ae77b80c-62e0-47b9-a540-1281dda3621b
R.M. Clayton Levee Improvements Project - Bolton Road Segment (Phase II),Atlanta - Georgia,Atlanta,Georgia,1166700,USD,,identified,95,City Utilities Committee,2026-02-10,https://atlantacityga.iqm2.com/Citizens/Detail_Meeting.aspx?ID=4321,https://citycouncil.atlantaga.gov/standing-committees/meeting-agendas/agenda,planning_stage,"The City of Atlanta is approving a budget amendment of $1,166,700 to the FY 2026 Water & Wastewater Renewal and Extension Fund (5052) for the R.M. Clayton Levee Improvements Project – Bolton Road Segment (Phase II). Funds are transferred from the Watershed Reserves for Appropriations. This is a capital infrastructure project at the R.M. Clayton Water Reclamation Center, focusing on levee improvements along the Bolton Road segment as Phase II. No specific problem statement such as failures, perfo",,74.8,,2.1,2019-2023,,,,,,98a64724-32f1-41d6-94e3-6036fba3d5db
Avon Lake Regional Water (ALRW) Water Plant Expansion - 33424 Lake Road Property Acquisition,Avon Lake - Ohio,Avon Lake,Ohio,857000,USD,,identified,95,Avon Lake City Council,2026-01-12,https://www.avonlake.org/files/agenda-minutes/2026/01/20260112_Council_Minutes.pdf,https://www.avonlake.org/city-council/agendas-minutes,planning_stage,"Avon Lake Regional Water (ALRW) requires expansion of its water treatment plant, necessitating the acquisition of property at 33424 Lake Road and adjacent parcels for the project. No specific problem statement such as capacity shortages, flow rates, or compliance issues is detailed in the minutes. No technical data including current plant capacity, design flows (ML/day, MGD), population served, water quality parameters (turbidity, contaminants), or infrastructure age is provided. No regulatory c",,,,5.9,2019-2023,,,,,,2ff0ca48-0bfb-4b74-b59c-8f097ec99cf5
Coeur d'Alene WWTP Tertiary Membrane Filtration Expansion Project Phase 5C.3A,Coeur d'Alene - Idaho,Coeur d'Alene,Idaho,814600,USD,,identified,90,Coeur d'Alene City Council,2025-11-18,https://www.cdaid.org/files/Council/Packet111825WEB.pdf,https://www.cdaid.org/3155/departments/council/council-agenda-packets,planning_stage,"Approval sought for Professional Services Agreement with JUB Engineers, Inc. for the Tertiary Membrane Filtration Expansion Project Phase 5C.3A at the Coeur d'Alene Wastewater Treatment Plant. No specific problem statement, performance issues, or violations detailed in the agenda. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age provided. No regulatory context, permit conditions, or deadlines mentioned. Facility is the city's WWTP und",,,,9.9,2019-2023,1976,48,2018,"Secondary treatment commissioned 1976; major upgrades in 1986, 1998, and 2016-2018 headworks and digesters",No,e4e15de8-6c06-4170-87b7-c175bd558e5b
Caldwell Wastewater Treatment Plant Vactor Recycler KW T880 Purchase,Caldwell - Idaho,Caldwell,Idaho,780000,USD,,identified,100,Caldwell City Council,2026-02-02,https://www.cityofcaldwell.org/files/assets/city/v/2/city-council/agendas/amended-february-2-2026-caldwell-city-council-agenda.pdf,https://www.cityofcaldwell.org/Government/City-Council/Council-Meetings,project_discussion,"Approval of purchase of a Vactor Recycler KW T880 for the Wastewater Treatment Plant from MetroQuip, Inc. in the amount of $780,000.00. This represents a major capital equipment acquisition for the WWTP, likely for collection system maintenance such as sewer cleaning. No problem statement on operational challenges or performance issues provided. No technical data including plant flows (ML/day), capacities (hydraulic/organic), contaminant levels (BOD, TSS, TP), population served, or infrastructur",,,,15.6,2019-2023,,,,,,27051290-1fff-4948-a704-f2a52707d600
Winter Park Water-Wastewater Systems - Continuing Engineering Services Renewal,Winter Park - Florida,Winter Park,Florida,600000,USD,,identified,85,City Commission,2023-09-27,https://d3n9y02raazwpg.cloudfront.net/winterpark/4f6d0229-902e-11ed-96ab-0050569183fa-e34e0cba-ad6d-45ea-a100-9747ec471291-1695394108.pdf,https://cityofwinterpark.org/government/city-commission/meetings/,planning_stage,"Jacobs Engineering Group, Inc. contract under RFQ17-10 for Continuing Engineering Services for Water-Wastewater Systems was renewed through October 1, 2024 for $600,000. This on-call engineering support is for capital-related work in water treatment, distribution, wastewater treatment, collection systems. Builds on prior task orders like Ravaudage Pump Station construction services ($381,466) and Consumptive Use Permit renewal ($190,000). No current problem statement, performance metrics vs requ",,4.073,,-1.9,2019-2023,,,,,,f38884a3-2b82-4442-9a91-78d33674b30e
Nixa Wastewater Treatment Plant Clarifier #2 Rehabilitation,Nixa - Missouri,Nixa,Missouri,570500,USD,,identified,100,Nixa City Council,2024-03-25,https://www.nixa.com/wp-content/uploads/2023/11/March-2024-Minutes.pdf,https://www.nixa.com/mayor-council/,project_discussion,"The Nixa Wastewater Treatment Plant requires rehabilitation of clarifier number two (#2), which is 22 years old, indicating aging infrastructure needing upgrades. No specific performance issues, flow rates, capacities, contaminant levels, or violations are mentioned. No regulatory context, permit deadlines, or compliance issues are detailed. The facility is the City's Wastewater Treatment Plant, and the project involves clarifier rehabilitation services, distinct from routine annual manhole lini",,,,12,2019-2023,1978,14,2010,Original construction 1978; major expansion and upgrade in 2010 to increase capacity. Age of last upgrade as of 2024.,No,20a4cacf-277e-47b6-97f6-2e4cfdabacdc
Kingsport Water Treatment Plant Traveling Screens Replacement at Water Intake,Kingsport - Tennessee,Kingsport,Tennessee,500000,USD,,identified,95,"Board of Mayor and Aldermen of the City of Kingsport, Tennessee",2022-04-05,https://www.kingsporttn.gov/wp-content/uploads/2022/05/04.05.22.BMA-Minutes.pdf,https://www.kingsporttn.gov/government/agendas-minutes/,planning_stage,"The City authorized the mayor to apply for and receive an Appalachian Regional Commission grant up to $500,000 for the replacement of traveling screens at the city's Water Treatment Plant intake. This is a capital equipment replacement project funded partially by grant. No problem statement like screen failures or issues mentioned. No technical data on flows, capacities, or water quality. Regulatory context is grant from Appalachian Regional Commission. Facility is Kingsport Water Treatment Plan",,8.18,,4.6,2019-2023,1979,45,2003,Original modern plant constructed 1979 per city engineering reports and TDEC permit history; major expansion 2003; age calculated as 2024 - 1979,No,9054effc-5bc1-4db4-83d3-4ff4ceabf27f
Lemoore Sewer Fund Headworks Bar Screening Upgrade,Lemoore - California,Lemoore,California,500000,USD,,identified,95,City Council Regular Meeting,2025-02-04,https://lemoore.com/wp-content/uploads/2025/02/Handouts-received-after-agenda-posted-2-4-2025.pdf,https://lemoore.com/councilagendas,planning_stage,"The Headworks Bar Screening project for the Lemoore Sewer Fund requires redesign because the previous company is no longer in business, and it is being researched to fit existing structures. Budget of $500K to roll into FY26. No details on current issues like blockages, flows (e.g., ML/day), or capacities. This is a capital upgrade for wastewater treatment plant headworks to improve solids removal. No regulatory context provided. Facility: Lemoore Sewer treatment plant. Scope: redesign and imple",3,2.2,73.33,3.5,2019-2023,1976,48,1996,Original construction 1976 per city General Plan; expansions 1986/1996. Current age from built_year to 2024.,,502c1557-6af7-4c4b-9780-810b15812431
PFAS Filter Project - Salisbury MD,Salisbury - Maryland,Salisbury,Maryland,469900,USD,,identified,100,City of Salisbury Council Legislative Session,2025-09-22,https://d3n9y02raazwpg.cloudfront.net/salisburymd/dabd30f0-4156-11f0-b7f5-005056a89546-319aa378-ef0b-4ffc-9cb8-d75f103a5777-1758297048.pdf,https://salisburymd.granicus.com/ViewPublisher.php?view_id=1,project_discussion,"Ordinance 2953 transfers $2M PFAS settlement and adds $469,900 surplus specifically for PFAS Filter Project (97010-456932-TBD revenue, 97010-513026-TBD expense). Problem: PFAS exceedances in drinking water requiring filtration upgrades. No levels vs limits, plant capacity, flows, or population (current/projected) specified. Regulatory: PFAS permit conditions/lawsuit settlement; no deadline given. Facility: Water treatment plant, new PFAS filter installation. Existing processes unknown; proposed:",,,,1.2,2019-2023,,,,,,8922b8b9-2513-4e7f-b5ee-469cabd0a513
Phenix City WWTP Screw Pump Replacement,Phenix City - Alabama,Phenix City,Alabama,439000,USD,,identified,90,State of the City Address,2024-02-01,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2024-02-01.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"Replacement of screw pump at Phenix City WWTP as part of ongoing improvements. Cost $439,000, status In Progress. No detailed problem statement or technical data provided such as flow rates, capacities, or contaminant levels. Part of broader WWTP upgrades and expansion program ($12.4M). No regulatory context specified. Facility is the city's WWTP; proposed solution is new screw pump equipment. Timeline not detailed. Business context: capital investment indicating infrastructure replacement needs",,2.84,,5.4,2019-2023,,,2015,Major upgrades noted in 2015 for headworks and aeration; original construction dates not specified in sources.,No,ae06cfdf-4df7-4d48-a0bb-35e1b00a453d
Moore WWTP Digester Building Removal Project,Moore - Oklahoma,Moore,Oklahoma,424213,USD,,identified,95,Moore Public Works Authority,2026-01-20,https://www.cityofmoore.com/sites/default/files/uploads/city-council-meeting/2026/agenda-2-02-26binder1pdf.pdf,https://www.cityofmoore.com/government/archives-public-meetings,project_discussion,"The Moore Wastewater Treatment Plant requires removal of the digester building as part of necessary repairs and improvements. A bid opening was held on January 6, 2026, with four bids received; the lowest best responsive bid is from Total Demolition Services at $424,213, compared to the engineer's estimate of $625,000. The contractor has experience removing metal structures at military bases and a water tank for the City of Duncan. Precautions will be taken to avoid disruption of service by prev",,5,,3.4,2019-2023,,,,,,8b4cc3a7-862e-40de-9e2a-4ffb1a4692c9
14 GWTPs Sensus Corradon Meters Installation - Florence SC,Florence - South Carolina,Florence,South Carolina,375000,USD,,identified,85,Florence City Council,2025-09-08,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/10-13-2025-complete-agenda_0.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"Purchase of Sensus Corradon Meters for 14 Ground Water Treatment Plants (GWTPs). $375,000 under Professional Services (Water Production). Carryforward funding. No technical details on current systems, needs, or specs provided. Capital equipment for water treatment plants.",,11.12,,4.5,2019-2023,,,,,,84bbba37-e6a8-42a6-b556-b33454d102fa
"Kentucky Avenue Pump Station (KAPS) Major Upgrade Design - Sheboygan, WI",Sheboygan - Wisconsin,Sheboygan,Wisconsin,373500,USD,,identified,100,Public Works Committee,2026-01-26,https://mccmeetings.blob.core.usgovcloudapi.net/sheboygnwi-pubu/MEET-Packet-cf580f11c8bf4ee3a1fd680f8426a038.pdf,https://sheboygan-wi.municodemeetings.com/,planning_stage,"The Kentucky Avenue Pump Station (KAPS) is a critical wastewater pumping station serving over half of the City of Sheboygan, built in the 1930s with partial updates in the 1970s, now facing significant operational and compliance challenges due to degraded components from decades of use, including five large problematic pumps prone to clogging, outdated electrical controls, backup generator system, building ventilation not meeting current codes, problematic valves, localized discharge piping issu",,18.39,,3.1,2019-2023,,,,,,6c8c84b8-2112-4dd5-8735-ee38e2098760
Caldwell Wastewater Treatment Plant Waste Activated Sludge Thickening Design,Caldwell - Idaho,Caldwell,Idaho,316700,USD,,identified,95,City Council Regular Meeting,2025-04-21,https://www.cityofcaldwell.org/files/assets/city/v/1/city-council/agendas/2025-04-21-city-council-agenda.pdf,https://www.cityofcaldwell.org/Government/City-Council/Council-Meetings,planning_stage,"The Caldwell City Council is approving a Professional Services Agreement with HDR Engineering, Inc. for the design of waste activated sludge thickening at the Wastewater Treatment Plant. No specific problem statement is detailed in the agenda item, such as current performance issues or violations driving the need for thickening. No technical data provided including flow rates, capacities, contaminant levels, population served, or infrastructure age. No regulatory context mentioned such as permit",,,,15.6,2019-2023,1982,42,2006,Original commissioning early 1980s per city documents; major expansion 2004-2006 to current capacity. Age as of 2024.,No,bd561f73-3a21-48ab-8083-9368eddeb199
Nixa Wastewater Collection System Manhole Rehabilitation - Older Part of Town,Nixa - Missouri,Nixa,Missouri,238000,USD,,identified,80,Nixa City Council,2023-07-24,https://www.nixa.com/wp-content/uploads/2022/12/July-2023-Minutes.pdf,https://www.nixa.com/mayor-council/,project_discussion,"The City of Nixa has an ongoing manhole rehabilitation project started in 2013 aimed at reducing inflow and infiltration (I/I) into the wastewater system. This year's scope includes rehabilitating 138 manholes in the older part of town. Since inception, the project has reduced the volume of treated water at the wastewater treatment plant by 3 to 4 million gallons. No specific current performance numbers vs. requirements, violations, or regulatory context mentioned. No flow rates, capacities, con",,,,12,2019-2023,,,,,,5fcb4913-dabc-4f29-9755-551b57b9c553
Caldwell Wastewater Treatment Plant Flocculant Equipment Purchase,Caldwell - Idaho,Caldwell,Idaho,230000,USD,,identified,95,Caldwell City Council Regular Meeting,2026-01-20,https://www.cityofcaldwell.org/files/assets/city/v/4/city-council/agendas/2026-01-20-city-council-agenda.pdf,https://www.cityofcaldwell.org/Government/City-Council/Council-Meetings,project_discussion,"The Caldwell City Council is approving a resolution to authorize the purchase of flocculant equipment for the Wastewater Treatment Plant. The purchase is in the budgeted amount of $230,000. No specific problem statement, operational challenges, or performance issues are mentioned in the agenda item. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age is provided. No regulatory context, compliance issues, permits, or deadlines are referen",,,,15.6,2019-2023,,,,,,d0823c13-e9ff-41a4-9f81-cfc165664004
Davis Aerator Building Screen Replacement - Memphis Water Treatment Facility,Memphis - Tennessee,Memphis,Tennessee,221292.12,USD,,identified,85,MLGW Fiscal Consent,2025-02-04,https://memphistn.gov/wp-content/uploads/2025/03/REVISED-AG-02-04-2025-1.pdf,https://memphistn.gov/city-council-meeting-agenda/,project_discussion,"The resolution awards Contract No. 12570 for screen replacement at the Davis Aerator Building, indicating a capital equipment replacement project within Memphis water infrastructure under MLGW. No specific problem statement provided, such as failing screens or performance issues. No technical data mentioned including flow rates, capacities, contaminant levels, population served, or infrastructure age. No regulatory context, compliance deadlines, or agencies noted. Facility details limited to Dav",,93.7,,-3.5,2019-2023,1983,41,2018,"Refers primarily to South WWTP (largest facility), original commissioning post-expansion 1983; ongoing upgrades under EPA consent decree.",,cfbceb46-7798-4693-b511-ec51b1bf15ea
Seawolf Park Wastewater Treatment Plant Engineering Design,Galveston - Texas,Galveston,Texas,199615,USD,,identified,100,City Council of the City of Galveston,2025-02-27,https://www.galvestontx.gov/AgendaCenter/ViewFile/Agenda/_02272025-5337?html=true,https://www.galvestontx.gov/AgendaCenter/City-Council-16,planning_stage,"The City of Galveston is approving a professional services contract with Arceneaux Wilson & Cole, LLC. (AWC) for the engineering design of the Seawolf Park Wastewater Treatment Plant (WWTP) project. No explicit problem statement on plant performance issues, effluent violations, or operational challenges is included. No technical data such as flow rates (ML/day, MGD), capacities (hydraulic/organic), contaminant levels (TP, TN, NH3-N, BOD, TSS, E. coli), population served, infrastructure age, or c",,10,,6.2,2019-2023,1983,41,2014,Current plant facilities primarily constructed 1978-1983; major upgrades to headworks and other systems in 2014. Age calculated as 2024 - 1983.,No,0dce0f40-5153-40c4-9182-80494d44bb98
"City of Camas Slow Sand Filter (SSF) Water Treatment Plant Startup and Commissioning - Amendment 5 with Jacobs Engineering, Including Boulder Creek Intake Reconstruction",Camas - Washington,Camas,Washington,179410,USD,,identified,90,City Council Workshop,2026-01-05,https://mccmeetings.blob.core.usgovcloudapi.net/camaswa-pubu/MEET-Packet-6d1f5c8ef24347e2ae840ad239883348.pdf,https://www.cityofcamas.us/meetings,project_discussion,"The SSF Water Treatment Plant at 32723 NE Lessard Road, constructed 2013-2015, capacity 1,570 gallons per minute (approx. 2.26 MGD), treats surface water from Jones Creek (since 1913) and Boulder Creek (since 1931); never fully operational due to pH control requiring CO2 system (installed 2021), 3 miles transmission main leakage replacement, Nakia Creek Fire 2022 impacting raw water quality deferring startup, Boulder Creek intake reduced flows revealing structural issues requiring design/permitt",4,2.82,70.5,15.4,2019-2023,1974,50,2015,Original construction 1974; major expansion 1991; headworks upgrade 2015,No,afdfd089-6898-4684-a16d-c93a17dbb0d6
Caldwell Wastewater Treatment Plant Chemical Feed System and Building Engineering Design,Caldwell - Idaho,Caldwell,Idaho,179160,USD,,identified,100,Caldwell City Council,2025-04-07,https://www.cityofcaldwell.org/files/assets/city/v/2/city-council/agendas/2025-04-07-city-council-agenda.pdf,https://www.cityofcaldwell.org/Government/City-Council/Council-Meetings,planning_stage,"No problem statement, plant performance issues, violations, or effluent quality data (e.g., phosphorus, ammonia, BOD, TSS) provided. No flows (ML/day, etc.), capacities (hydraulic/organic), contaminant levels vs. limits, population served, infrastructure age, or current processes mentioned. No regulatory context, permits (e.g., Certificate of Approval), agencies, or deadlines detailed. Facility: Caldwell Wastewater Treatment Plant (WWTP); proposed: chemical feed system and building upgrade. No a",,,,15.6,2019-2023,1974,50,2006,"Original construction 1974; major expansions 1986, 1991, 2006. Current age from built year to 2024.",No,683c7442-3a53-4149-9255-9444d16d1dd6
