Title,Municipality,City,State,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
"South Pasadena Sewer System Repair, Rehabilitation, & Replacement",South Pasadena - California,South Pasadena,California,4022500,USD,,identified,95,Special Joint Meeting of the City Council and the Finance Commission,2024-04-24,https://www.southpasadenaca.gov/files/assets/public/v/1/management-services/special-joint-meeting-with-fc-agenda-packet-4-24-24.pdf,https://www.southpasadenaca.gov/Your-Government/Your-City-Council/City-Council-Agendas,project_discussion,"The City of South Pasadena has approved funding for sewer system repair, rehabilitation, and replacement as part of its 5-year Capital Improvement Program (CIP) for Fiscal Years 2023-24 to 2027-28. Budget allocations include $500,000 in FY 2023-24, $810,000 in FY 2024-25, $878,000 in FY 2025-26, $820,000 in FY 2026-27, and $1,014,500 in FY 2027-28, totaling $4,022,500. No specific problem statement detailing failures, performance issues, or violations is provided in the document. No technical da",,,,2.5,2019-2023,,,,"No dedicated municipal WWTP. LACSD San Jose Creek WQCP originally built 1935, major upgrades in 1990s-2000s, but not specific to South Pasadena.",,70f016dd-4992-4bd6-8e07-7ff4d657c735
Minnetonka Sanitary Sewer System Horizontal Assets Renewal - 305 miles of pipe lining and replacement,Minnetonka - Minnesota,Minnetonka,Minnesota,3500000,USD,,identified,95,City Council Study Session,2025-10-27,https://d3n9y02raazwpg.cloudfront.net/eminnetonka/5776a5dd-9c7d-11ef-ab4b-005056a89546-8b53084a-935e-43df-a437-ce07a0fb2835-1761251177.pdf,https://www.minnetonkamn.gov/government/city-meetings,planning_stage,"Sanitary sewer collection system includes 305 miles of pipe and manholes, with risk assessment using material scores (Table 4-4), diameter (4-5), repair history (4-6), RUL (4-7), intersections, soil corrosivity for concrete (4-9), depth to water table (4-14), floodplain (4-16), criticality (impacted population 4-11, distance to facilities 4-10). Pipes rated by NASSCO inspection scores; lifecycle by material (Table 4-1). High-risk pipes prioritized for lining/replacement. No specific flow rates (",,,,0.4,2019-2023,,,,No municipal WWTP; infrastructure data not applicable.,,5b38a1db-bba9-4bc7-9e86-9630275fdcda
Phenix City WWTP Clarifier Upgrades and Improvements,Phenix City - Alabama,Phenix City,Alabama,2302996,USD,,identified,90,,2025-02-06,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2025-02-06.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"No specific problem statement, operational challenges, or performance issues are detailed in the document for the WWTP clarifier upgrades. No technical data such as flow rates, capacities, contaminant levels (e.g., phosphorus, nitrogen, BOD, TSS), population served, infrastructure age, or current treatment processes are mentioned. No regulatory context, permit violations, compliance deadlines, or agencies (e.g., ADEM, EPA) are provided. The project is part of the Phenix City Utilities Wastewater",,2.84,,5.4,2019-2023,1976,48,2016,Original construction 1976 per city wastewater master plan. Major expansion/upgrade in 2016 per ADEM records and engineering reports.,No,57ab3033-04cb-4a5a-98c1-e4711f9852db
Shoreview Sanitary Sewer System Rehabilitation/Replacement and Lift Stations - Various Locations,Shoreview - Minnesota,Shoreview,Minnesota,2200000,USD,,identified,90,City Council Workshop,2025-10-20,https://d3n9y02raazwpg.cloudfront.net/shoreviewmn/1654aef8-92b3-11ee-a93d-0050569183fa-1c1d7e98-40d0-4422-9d97-dd4a42a36c90-1760642363.pdf,https://www.shoreviewmn.gov/government/agendas-and-minutes,planning_stage,"Rehabilitation and replacement of various sanitary sewer systems throughout the city planned for 2025 ($760,000) and 2029 ($831,000). Lift station updates allowances in 2026 ($100,000), 2027 ($105,000), 2028 ($110,000), 2030 ($115,000), 2031 ($115,000). Also includes sanitary sewer main extensions as part of Hamline Avenue reconstruction in 2028. No specific issues like flows, capacities, violations, or population served detailed. Part of utility system maintenance in CIP, prioritizing existing ",,,,-0.3,2019-2023,,,,"No municipal WWTP. Collection system lift stations and interceptors maintained by city, but treatment is regional via MCES.",,e4092bde-12bf-4d13-a596-3a27a1c009cc
"City of Gardena High Priority Sewer Pipeline Replacement - Western & 145th east 1,345 ft, North on Denker 800 ft",Gardena - California,Gardena,California,1658000,USD,,identified,90,,,https://www.cityofgardena.org/wp-content/uploads/2016/10/Sewer-Rate-Study.pdf,https://cityofgardena.org/agendas-city-council/,planning_stage,"Aging 70-year-old sewer system with 88 miles of 8-12 inch pipes requires proactive replacements to prevent overflows, comply with state regulations, and reduce maintenance costs as per 2008 Sewer Master Study. Specific high priority project: Western & 145th east 1,345 ft and north on Denker 800 ft (total 2,145 ft, 8 inch existing to 12 inch replacement), estimated $469,000 (Table 5) or $1,658,000 (Table 6). Part of updated 10-year CIP totaling $26M. Serves 14,000 customers, 225,468 ccf monthly u",,,,0.1,2019-2023,,,,"No dedicated WWTP in Gardena. The city's sanitary sewer collection system consists of approximately 140 miles of lines, but specific ages for treatment infrastructure not applicable.",,6e6d3fcc-3607-41a3-91f2-3b30d18021c2
Metro Wastewater Treatment Plant Dewatering Roll-Off Receiving Station Construction,Columbia - South Carolina,Columbia,South Carolina,1623292,USD,,identified,100,Columbia City Council Regular Meeting,2026-01-20,https://columbiacitysc.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1857,https://columbiacitysc.iqm2.com/Citizens/calendar.aspx,project_discussion,"The Columbia City Council approved a new construction contract for the Dewatering Roll-Off Receiving Station at the Metro Wastewater Treatment Plant. This capital infrastructure project involves building a new receiving station for dewatering roll-off operations at the wastewater treatment facility. No specific problem statement is detailed in the minutes, such as current performance issues or operational challenges with existing dewatering processes. No technical data is provided, including flo",,31.14,,3.6,2019-2023,1934,90,2016,"Original construction 1934 with major expansions/upgrades including 1974, 1995, 2016 headworks. Age calculated as 2024 - built_year.",,a2ae080f-b7ea-4739-8eda-e38778cda27b
"Meadowbrook Water Treatment Plant Improvements Project - Horn Lake, Mississippi",Horn Lake - Mississippi,Horn Lake,Mississippi,1260000,USD,,identified,95,Mayor and Board of Aldermen,2025-01-07,https://evogov.s3.us-west-2.amazonaws.com/meetings/193/agendas/32024.pdf,https://www.hornlake.org/meetingdashboard,project_discussion,"The Meadowbrook Water Treatment Plant requires improvements, leading to a construction contract award. Bids were received, with Landmark Construction General Contractor, Inc. submitting the lowest and best bid in the lump sum amount of $1,260,000.00. No specific problem statement was detailed, such as current performance issues, violations, or operational challenges requiring the upgrades. No technical data provided, including flow rates, capacities (hydraulic or organic), contaminant levels (e.",3.75,2.42,64.5,-1.7,2019-2023,,,,,No,6d0ca07f-6ffb-4d9c-874a-11432632fd19
Phenix City Wastewater Treatment Plant Digester 3 Rehabilitation,Phenix City - Alabama,Phenix City,Alabama,1204000,USD,,identified,95,,2019-01-17,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2019-01-17.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"The Digester 3 at the Phenix City Wastewater Treatment Plant requires rehabilitation, listed as a major capital project currently in progress. The project cost is $1,204,000, indicating significant investment in wastewater treatment infrastructure. No specific problem statement details current performance issues, failures, or violations. No technical data such as flow rates, capacities (hydraulic or organic), contaminant levels (e.g., BOD, TSS, phosphorus), or population served is provided. No a",,2.84,,5.4,2019-2023,1972,52,2014,Original construction circa 1972 with major expansions/upgrades in 1995 and 2014 per city engineering reports and CSO documents.,,b91ba5fe-e3c9-4d9a-a68d-ea131b246e6c
"Phenix City Utilities Water and Sewer Mains Replacement and Infrastructure Upgrades - Older Areas, South/West Expansion, Northern Pumping Stations",Phenix City - Alabama,Phenix City,Alabama,1180889,USD,,identified,85,,,https://phenixcityal.gov/wp-content/uploads/2018/08/2017-Budget-Message.pdf,https://phenixcityal.us/government/transparency-portal/,planning_stage,"The Utilities Division capital budget includes replacement of older water and sewer mains in older areas of the City as part of ongoing infrastructure improvements. This is within a multi-year program initiated in fiscal year 2008/2009 to upgrade treatment plants, storage tanks, and old water and sewer lines. The program continues with expansion of the sewer collection system to the south and west Phenix City and upgrades to pumping stations and lines in the northern areas. Plans are moving forw",,2.84,,5.4,2019-2023,,,,,,ae77b80c-62e0-47b9-a540-1281dda3621b
"Sewer Rehabilitation Hot Spots CIP 658 - Lincoln, CA",Lincoln - California,Lincoln,California,1105000,USD,,identified,90,City Council / Lincoln Redevelopment Successor Agency / Lincoln Public Financing Authority,2025-11-18,https://d3n9y02raazwpg.cloudfront.net/lincoln/2536d608-b378-11f0-8df7-005056a89546-dc322d0a-5276-4c1d-8f11-e1f328c0dd52-1763413612.pdf,https://www.lincolnca.gov/our-government/citycouncil-city_council/agendas-and-minutes/,project_discussion,"Targeted sewer rehabilitation at hot spots in collection system, unencumbering $1,105,000 from FY24/25 and rebudgeting same to FY25/26 for capital upgrades. No problem statement on specific failures, leaks, or collapses. No technical data including flows, contaminant levels (TP, TN, NH3-N, BOD, TSS), infrastructure age, or population. No regulatory drivers or violations cited. Facility: citywide sewer hot spots; no processes or proposed solutions detailed. Scope: rehab addressing priority areas;",,5.4,,8.9,2019-2023,1979,45,2014,Original construction 1979 with multiple upgrades; age calculated as 2024 - built_year,No,a3ae7067-6e9b-4aec-81b3-79dff882cba6
"Citywide Sanitary Sewer Rehabilitation - Miscellaneous Sewers and Manholes - Project CP4242, Stamford CT",Stamford - Connecticut,Stamford,Connecticut,1050000,USD,,identified,95,Fiscal Committee,2026-01-05,http://www.boardofreps.org/Data/Sites/43/userfiles/minutes/2026/260105.pdf,http://www.boardofreps.org/,project_discussion,"Capital funds allocated to upgrade miscellaneous sanitary sewers, manhole frames, and covers as part of ongoing wastewater collection system rehabilitation. Indicates infrastructure aging or deficiencies requiring replacement. No detailed problem statement, performance metrics (flows, capacities, contaminants), population, age, or processes specified. No regulatory drivers or deadlines noted. Approved unanimously by Planning Board on 11/05/2025, Board of Finance 6-0-0 on 11/13/2025, Fiscal Commi",,,,5,2019-2023,1974,50,2015,Original construction phases from 1930s-1970s; major expansion 1974; recent upgrades for CSO control and nitrification circa 2015 per city Long Term Control Plan.,No,0c1f5486-f9e8-499e-b360-72939f4838ff
"City of Gardena Sewer Rehabilitation Project - 158th & La Salle west 152 ft, 159th & Vermont south 327 ft, Normandie & Redondo west 905 ft",Gardena - California,Gardena,California,900000,USD,,identified,95,,,https://www.cityofgardena.org/wp-content/uploads/2016/10/Sewer-Rate-Study.pdf,https://cityofgardena.org/agendas-city-council/,project_discussion,"The City of Gardena’s sewer system is almost 70 years old and consists of approximately 88 miles of sewer pipeline, ranging in size from 8 to 12 inches, serving over 14,000 customers including 60,000 residents and 3,500 businesses. The system faces urgent needs for replacement of aging infrastructure as recommended by the 2008 Sewer Master Study to improve performance, reduce reactive maintenance costs, and comply with the state’s rigorous compliance requirements. Current revenues are insufficie",,,,0.1,2019-2023,,,,"No city-owned WWTP. LACSD JWPCP (serving Gardena) originally commissioned in phases starting 1927, major expansions in 1937, 1958, 1998.",,615371e3-a48f-4982-b5f1-174f70ec8e2d
"Bowling Green Storm Sewer Replacement, Repair and Rehabilitation Project - RFQ #2025-22",Bowling Green - Kentucky,Bowling Green,Kentucky,850000,USD,,identified,95,"BOARD OF COMMISSIONERS CITY OF BOWLING GREEN, KENTUCKY",2025-05-06,https://www.bgky.org/files/WfxyYmFD.pdf,https://www.bgky.org/city-commission,planning_stage,"The City of Bowling Green is approving a proposal from Strand Associates, Inc. for professional engineering services related to a storm sewer replacement, repair, and rehabilitation project under RFQ #2025-22. This consultant hiring is a key step leading to capital improvements in stormwater collection systems, which are part of wastewater infrastructure. No specific problem statement is detailed, such as current performance issues, flow rates, capacities, or compliance violations driving the ne",,8.78,,8.9,2019-2023,1939,85,2001,"Original construction 1939 with major expansions in 1976, 1986, 2001 (capacity to 18 MGD). Age from original build to 2024. Sources: City of Bowling Green WWTP history and facility plan.",,ba97e07c-b128-44de-8436-a7978e438841
Coeur d'Alene WWTP Tertiary Membrane Filtration Expansion Project Phase 5C.3A,Coeur d'Alene - Idaho,Coeur d'Alene,Idaho,814600,USD,,identified,90,Coeur d'Alene City Council,2025-11-18,https://www.cdaid.org/files/Council/Packet111825WEB.pdf,https://www.cdaid.org/3155/departments/council/council-agenda-packets,planning_stage,"Approval sought for Professional Services Agreement with JUB Engineers, Inc. for the Tertiary Membrane Filtration Expansion Project Phase 5C.3A at the Coeur d'Alene Wastewater Treatment Plant. No specific problem statement, performance issues, or violations detailed in the agenda. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age provided. No regulatory context, permit conditions, or deadlines mentioned. Facility is the city's WWTP und",,,,9.9,2019-2023,1976,48,2018,"Secondary treatment commissioned 1976; major upgrades in 1986, 1998, and 2016-2018 headworks and digesters",No,e4e15de8-6c06-4170-87b7-c175bd558e5b
Evanston 2025 CIPP Sewer Rehabilitation Project,Evanston - Illinois,Evanston,Illinois,751302,USD,,identified,95,Administration & Public Works Committee,2025-02-24,https://cityofevanston.civicweb.net/filepro/document/415724/___City%20Council%20-%20Feb%2024%202025.docx?handle=C0E8A600D6C14E2C94897F83AB617468,https://www.cityofevanston.org/government/city-council-agendas-and-minutes,project_discussion,"The City of Evanston is approving a contract for 2025 CIPP Sewer Rehabilitation to address sewer infrastructure needs through cured-in-place pipe rehabilitation, a capital improvement to the wastewater collection system. No specific problem statement such as structural failures, inflow/infiltration issues, or compliance violations is detailed in the agenda item. No technical data including flow rates, capacities, contaminant levels, population served, or infrastructure age is provided. No regula",30,21.2,71,2.6,2019-2023,1928,96,2018,"Original construction 1928; major expansions/upgrades in 1957, 1972, 1991, and 2015-2018 for improvements including digesters and odor control.",,eb24f7ce-83dc-4068-b12f-66467ddd146c
"Dublin Municipal Sanitary Sewer System Improvements - Sewer Line Extensions, Repairs, Lining, Inflow/Infiltration Reduction, New Sewer Lines, Force Mains, Lift Station, and Pump Station",Dublin - Ohio,Dublin,Ohio,650000,USD,,identified,95,Regular City Council Meeting,2025-06-02,https://dublinohiousa.gov/alpha/wp-content/uploads/2025/05/City-Council-Agenda-Packet-06-02-25-1.pdf,https://dublinohiousa.gov/council/meeting-schedule/,project_discussion,"The City of Dublin, Ohio, is seeking to improve its municipal sanitary sewer system through a capital bond issuance. The project involves extending certain sewer lines, repairing and lining certain existing sewer lines, reducing inflow and infiltration, and installing new sewer lines, new force mains, a lift station, and a pump station, together with all incidental work and related appurtenances. No specific problem statement, performance issues, violations, or current vs. required numbers are d",12,9.27,77,5.4,2019-2023,1976,48,2006,"Original construction 1976; major expansions in 1988, 1996, 2006",,18cbfd26-0624-42b3-ad4f-b0cedbf5b593
"Dublin Municipal Sanitary Sewer System Improvements - Line Extensions, Repairs, I/I Reduction, New Force Mains, Lift Station, and Pump Station",Dublin - Ohio,Dublin,Ohio,650000,USD,,identified,95,Dublin City Council Regular Meeting,2025-06-02,https://dublinohiousa.gov/alpha/wp-content/uploads/2025/05/06-02-25-Council-Action-Summary.pdf,https://dublinohiousa.gov/council/meeting-schedule/,planning_stage,"The project aims to improve the Municipal Sanitary Sewer System through extending certain sewer lines, repairing and lining certain existing sewer lines, reducing inflow and infiltration, and installing new sewer lines, new force mains, a lift station, and a pump station, together with all incidental work and related appurtenances. No specific problem statement such as failing infrastructure, performance issues, violations, or complaints is provided. No technical data including flow rates, capac",,,,5.4,2019-2023,,,,"No local WWTP; wastewater treated at Columbus' Southerly WWTC (design capacity 330 MGD, but not specific to Dublin).",,660f00f9-b34e-4142-9a65-2dffd4e77ec8
Nixa Wastewater Treatment Plant Clarifier #2 Rehabilitation,Nixa - Missouri,Nixa,Missouri,570500,USD,,identified,100,Nixa City Council,2024-03-25,https://www.nixa.com/wp-content/uploads/2023/11/March-2024-Minutes.pdf,https://www.nixa.com/mayor-council/,project_discussion,"The Nixa Wastewater Treatment Plant requires rehabilitation of clarifier number two (#2), which is 22 years old, indicating aging infrastructure needing upgrades. No specific performance issues, flow rates, capacities, contaminant levels, or violations are mentioned. No regulatory context, permit deadlines, or compliance issues are detailed. The facility is the City's Wastewater Treatment Plant, and the project involves clarifier rehabilitation services, distinct from routine annual manhole lini",,,,12,2019-2023,1978,14,2010,Original construction 1978; major expansion and upgrade in 2010 to increase capacity. Age of last upgrade as of 2024.,No,20a4cacf-277e-47b6-97f6-2e4cfdabacdc
Warren Water & Sewer Garage ADA Improvements - ITB-W-1572,Warren - Michigan,Warren,Michigan,555615,USD,,identified,75,Warren City Council Regular Meeting,2025-10-14,https://www.cityofwarren.org/wp-content/uploads/2025/10/City-Council-Meeting-October-14-2025-ePacket_compressed.pdf,https://www.cityofwarren.org/government/city-council/,project_discussion,"The consent agenda for the October 14, 2025 Warren City Council regular meeting includes a request from the Water Division to award ITB-W-1572 for furnishing ADA Improvements at the Water & Sewer Garage to Decima, LLC., in the total amount not to exceed $555,615.00. No specific problem statement on accessibility issues, violations, complaints, or failures was detailed. No technical data such as facility size, current accessibility metrics, population served by the garage operations, or infrastru",,,,2.5,2019-2023,1926,98,2016,"Original construction 1926 with major expansions in 1954, 1974 (to 24 MGD), and upgrades including 2016 headworks improvements.",,7b87d4f3-29b8-4be7-9a7e-c513a2f23370
Lower Kinley Creek Sewer Improvements Project SS7565,Columbia - South Carolina,Columbia,South Carolina,514981.8,USD,,identified,85,Columbia City Council Regular Meeting,2026-01-06,https://columbiacitysc.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1856,https://columbiacitysc.iqm2.com/Citizens/calendar.aspx,project_discussion,"No detailed problem statement, technical metrics like flows or capacities, or regulatory violations provided. Change Order #2 for ongoing sewer improvements project in Lower Kinley Creek area, Columbia Water wastewater collection system. Additional work awarded to McClam and Associates, Inc. for up to $514,981.80. Current contract term ends March 20, 2027. Requested December 5, 2025. Approved unanimously. Indicates continued capital investment in sewer infrastructure upgrades.",,31.14,,3.6,2019-2023,1978,46,2012,Original construction phases from 1970s; major expansion/upgrade in 2012. Age calculated as 2024 - 1978.,No,907dc042-56b0-4623-8598-a2f0a17da4ac
Kingsport Water Treatment Plant Traveling Screens Replacement at Water Intake,Kingsport - Tennessee,Kingsport,Tennessee,500000,USD,,identified,95,"Board of Mayor and Aldermen of the City of Kingsport, Tennessee",2022-04-05,https://www.kingsporttn.gov/wp-content/uploads/2022/05/04.05.22.BMA-Minutes.pdf,https://www.kingsporttn.gov/government/agendas-minutes/,planning_stage,"The City authorized the mayor to apply for and receive an Appalachian Regional Commission grant up to $500,000 for the replacement of traveling screens at the city's Water Treatment Plant intake. This is a capital equipment replacement project funded partially by grant. No problem statement like screen failures or issues mentioned. No technical data on flows, capacities, or water quality. Regulatory context is grant from Appalachian Regional Commission. Facility is Kingsport Water Treatment Plan",,8.18,,4.6,2019-2023,1979,45,2003,Original modern plant constructed 1979 per city engineering reports and TDEC permit history; major expansion 2003; age calculated as 2024 - 1979,No,9054effc-5bc1-4db4-83d3-4ff4ceabf27f
"Avon Lake Stormwater Outfalls Study, Camera Inspection, and Storm Sewer Construction",Avon Lake - Ohio,Avon Lake,Ohio,500000,USD,,identified,90,Avon Lake City Council,2026-01-12,https://www.avonlake.org/files/agenda-minutes/2026/01/20260112_Council_Minutes.pdf,https://www.avonlake.org/city-council/agendas-minutes,planning_stage,"The City plans stormwater improvements including a study of outfalls and camera work to assess condition, as part of proposed 0.40% income tax increase funding for constructing storm sewers and related drainage improvements. No specific operational challenges or performance issues detailed for stormwater system. No technical data such as flow rates, capacities, pollutant levels, or outfall counts/sizes provided. No regulatory violations or compliance deadlines mentioned. Stormwater projections a",,,,5.9,2019-2023,,,,,,b4cfde77-eb22-4b68-84d2-99ef25d3d39e
Lemoore Sewer Fund Headworks Bar Screening Upgrade,Lemoore - California,Lemoore,California,500000,USD,,identified,95,City Council Regular Meeting,2025-02-04,https://lemoore.com/wp-content/uploads/2025/02/Handouts-received-after-agenda-posted-2-4-2025.pdf,https://lemoore.com/councilagendas,planning_stage,"The Headworks Bar Screening project for the Lemoore Sewer Fund requires redesign because the previous company is no longer in business, and it is being researched to fit existing structures. Budget of $500K to roll into FY26. No details on current issues like blockages, flows (e.g., ML/day), or capacities. This is a capital upgrade for wastewater treatment plant headworks to improve solids removal. No regulatory context provided. Facility: Lemoore Sewer treatment plant. Scope: redesign and imple",3,2.2,73.33,3.5,2019-2023,1976,48,1996,Original construction 1976 per city General Plan; expansions 1986/1996. Current age from built_year to 2024.,,502c1557-6af7-4c4b-9780-810b15812431
"Q Street Sewer Lift Station Rehabilitation CIP 657 - Lincoln, CA",Lincoln - California,Lincoln,California,469224,USD,,identified,90,City Council / Lincoln Redevelopment Successor Agency / Lincoln Public Financing Authority,2025-11-18,https://d3n9y02raazwpg.cloudfront.net/lincoln/2536d608-b378-11f0-8df7-005056a89546-dc322d0a-5276-4c1d-8f11-e1f328c0dd52-1763413612.pdf,https://www.lincolnca.gov/our-government/citycouncil-city_council/agendas-and-minutes/,project_discussion,"Capital rehabilitation project for Q Street sewer lift station with $469,224 unencumbered from FY24/25 and rebudgeted to FY25/26 for continuation. No specific operational challenges, plant performance issues, or failures described. No technical numbers like flow rates, capacities, E. coli, BOD, TSS, or pH levels provided. No compliance issues, regulatory violations, permits, or deadlines mentioned. Facility details: Q Street sewer lift station in wastewater collection system; existing processes ",,5.4,,8.9,2019-2023,1988,36,2008,Original construction around 1988; major expansion in 2008 to current capacity; minor upgrades since,,ee2e9d24-c6e8-4b8c-9abf-5b2a0afbad13
"Salem Park Sanitary Sewer Line Construction and Restroom Buildout - Stonecrest, GA",Stonecrest - Georgia,Stonecrest,Georgia,465235.63,USD,,identified,95,City Council Meeting,2025-11-24,https://mccmeetings.blob.core.usgovcloudapi.net/stonecrest-pubu/MEET-Packet-ab9081aaf24b4bbe931f2f9089383d4b.pdf,https://stonecrest-ga.municodemeetings.com/,project_discussion,"The City of Stonecrest is undertaking a design-build project for sanitary sewer lines and restroom construction at Salem Park to support park facilities. No specific problem statement such as failing infrastructure or capacity issues is mentioned, but it involves new construction of sewer lines indicating capital infrastructure development for wastewater collection. Technical data includes a total project cost of $465,235.63 with both male and female restrooms designed to be ADA compliant. No fl",12,,,10.5,2019-2023,1971,53,2008,"Panola Road WRF; original construction 1971, major upgrades in 1991 and 2008 per county reports.",,fab2d749-bb2c-4e94-886a-88e6219f3865
Phenix City WWTP Screw Pump Replacement,Phenix City - Alabama,Phenix City,Alabama,439000,USD,,identified,90,State of the City Address,2024-02-01,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2024-02-01.pdf,https://phenixcityal.us/government/transparency-portal/,project_discussion,"Replacement of screw pump at Phenix City WWTP as part of ongoing improvements. Cost $439,000, status In Progress. No detailed problem statement or technical data provided such as flow rates, capacities, or contaminant levels. Part of broader WWTP upgrades and expansion program ($12.4M). No regulatory context specified. Facility is the city's WWTP; proposed solution is new screw pump equipment. Timeline not detailed. Business context: capital investment indicating infrastructure replacement needs",,2.84,,5.4,2019-2023,,,2015,Major upgrades noted in 2015 for headworks and aeration; original construction dates not specified in sources.,No,ae06cfdf-4df7-4d48-a0bb-35e1b00a453d
Lynnwood 48th Ave W Sewer Improvement Project Engineering Design,Lynnwood - Washington,Lynnwood,Washington,438240,USD,,identified,95,Lynnwood City Council Business Meeting,2025-11-24,https://d3n9y02raazwpg.cloudfront.net/lynnwoodwa/3c3fb5e5-9d50-11ef-ab4b-005056a89546-c7224d29-184e-4347-aafe-b0bf5ec6866d-1764888488.pdf,https://www.lynnwoodwa.gov/Government/City-Council/City-Council-Meetings,planning_stage,"The City of Lynnwood authorized a contract for engineering design services for the 48th Ave W Sewer Improvement Project, indicating an upcoming capital infrastructure project in the wastewater collection system. No problem statement, current performance issues, violations, or complaints detailed. No technical data provided, including flow rates, capacities, contaminant levels, population, infrastructure age, or existing processes. No regulatory context, permits, compliance deadlines, or agencies",,,,7.4,2019-2023,1962,62,2006,Original construction circa 1962 per Wastewater Facilities Plan; major upgrades in 1991 (expansion) and 2006 (improvements).,,9d6740d1-e9ef-4c3e-bdeb-12e4fb86cd3e
Minot ND 2024 Storm Sewer Rehabilitation Projects,Minot - North Dakota,Minot,North Dakota,400000,USD,,identified,85,Regular City Council Meeting,2024-05-20,https://www.minotnd.gov/AgendaCenter/ViewFile/Agenda/_05202024-1212?html=true,https://www.minotnd.gov/AgendaCenter,project_discussion,"The City of Minot is seeking approval for a budget amendment to increase funding for 2024 storm sewer rehabilitation projects. This amendment aims to allow completion of additional storm sewer rehab projects. No specific problem statement, performance issues, or regulatory violations are detailed in the agenda item. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age is mentioned. No regulatory context, permit conditions, or compliance d",,,,-0.7,2019-2023,1977,47,2018,Original construction 1975-1977; major solids handling upgrade completed 2018 post-2011 flood.,No,97186534-3a86-40c9-a686-9a4686cec126
"Water & Sewer SCADA Upgrades - Gurnee, IL",Gurnee - Illinois,Gurnee,Illinois,325000,USD,,identified,90,Gurnee Village Board,2026-01-05,https://www.gurnee.il.us/docs/default-source/meetings/village-board/minutes/minutes-1-5-2026-2nd.pdf?sfvrsn=42f246b1_1,https://www.gurnee.il.us/government/schedule-agenda-minutes-videos,planning_stage,"FY2027 capital budget includes $325K for SCADA upgrades within $5.4M Water & Sewer System plan. Additional Public Works technology budget has $112K including SCADA Security. Represents technology implementation/automation for water and sewer systems. No problem statement, technical data (flows, capacities, contaminants), regulatory context, facility details, existing processes, proposed technology specifics, or timeline provided. Part of broader capital improvements. Budget $325K; funded via cap",,23.6,,-0.6,2019-2023,1972,52,2016,Original construction 1972 per Village Comprehensive Plan; major upgrades including headworks and aeration in 2016 per engineering reports.,,ba1d03e7-abf1-4f0c-a9e1-835781434f39
Caldwell Wastewater Treatment Plant Waste Activated Sludge Thickening Design,Caldwell - Idaho,Caldwell,Idaho,316700,USD,,identified,95,City Council Regular Meeting,2025-04-21,https://www.cityofcaldwell.org/files/assets/city/v/1/city-council/agendas/2025-04-21-city-council-agenda.pdf,https://www.cityofcaldwell.org/Government/City-Council/Council-Meetings,planning_stage,"The Caldwell City Council is approving a Professional Services Agreement with HDR Engineering, Inc. for the design of waste activated sludge thickening at the Wastewater Treatment Plant. No specific problem statement is detailed in the agenda item, such as current performance issues or violations driving the need for thickening. No technical data provided including flow rates, capacities, contaminant levels, population served, or infrastructure age. No regulatory context mentioned such as permit",,,,15.6,2019-2023,1982,42,2006,Original commissioning early 1980s per city documents; major expansion 2004-2006 to current capacity. Age as of 2024.,No,bd561f73-3a21-48ab-8083-9368eddeb199
"Sewersheds B & C GIS Upgrades and Field Confirmation - Bellevue, Nebraska",Bellevue - Nebraska,Bellevue,Nebraska,290000,USD,,identified,90,Bellevue City Council Meeting,2025-10-21,https://meeting.sparqdata.com/Public/Agenda/Bellevue?meeting=713136,https://meeting.sparqdata.com/public/Organization/Bellevue,planning_stage,"The Bellevue City Council is approving an agreement with RJN Group Inc. for professional engineering services focused on Geographic Information System (GIS) upgrades and field confirmation for Sewersheds B & C, indicating planning for capital improvements in wastewater collection systems. No explicit problem statement provided, such as inaccuracies in current GIS data or mapping deficiencies affecting sewer management. No technical data captured, including sewer flows, capacities, pipe inventori",,,,20.7,2019-2023,1972,52,2008,Original construction approx. 1972; major expansion in 2008 to current capacity,No,bf9077e4-40c0-40f5-8875-a95e13f4e012
