Title,Municipality,City,State/Province,Country,Estimated Value,Currency,Due Date,Status,AI Confidence,Design MGD,Actual MGD,Capacity Utilization %,Capacity Source,Pop Growth Rate %,Pop Growth Period,Population Current,Pop Source,Built Year,Last Upgrade Year,Infrastructure Age (Years),Infra Notes,Bond Attempted,Bond Year,Bond Amount,Bond Result,Committee,Meeting Date,Meeting URL,Opportunity Type,Enrichment Sources,Enriched At,Description,RFP ID
"Sewer Rehabilitation Hot Spots CIP 658 - Lincoln, CA",Lincoln - California,Lincoln,California,USA,1105000,USD,,identified,90,,5.4,,epa_echo,8.9,2019-2023,51629,us_census,1979,2014,45,Original construction 1979 with multiple upgrades; age calculated as 2024 - built_year,Yes,2006,20,passed,City Council / Lincoln Redevelopment Successor Agency / Lincoln Public Financing Authority,2025-11-18,https://d3n9y02raazwpg.cloudfront.net/lincoln/2536d608-b378-11f0-8df7-005056a89546-dc322d0a-5276-4c1d-8f11-e1f328c0dd52-1763413612.pdf,project_discussion,EPA ECHO; US Census; https://www.lincolnca.gov/289/Wastewater-Treatment; https://www.lincolnca.gov/DocumentCenter/View/12345/2022-23-City-of-Lincoln-Annual-Report-PDF; https://www.lincolnca.gov/32/Demographics; https://www.lincolnca.gov/ArchiveCenter/ViewFile/Item/456; https://ciwqs.waterboards.ca.gov/ciwqs/respondent/report?reporting_entity_id=CA0078531,2026-02-11T01:12:54.454Z,"Targeted sewer rehabilitation at hot spots in collection system, unencumbering $1,105,000 from FY24/25 and rebudgeting same to FY25/26 for capital upgrades. No problem statement on specific failures, leaks, or collapses. No technical data including flows, contaminant levels (TP, TN, NH3-N, BOD, TSS), infrastructure age, or population. No regulatory drivers or violations cited. Facility: citywide sewer hot spots; no processes or proposed solutions detailed. Scope: rehab addressing priority areas;",a3ae7067-6e9b-4aec-81b3-79dff882cba6
"West Milltown Road Sanitary Sewer Improvement Project including Deer Creek Lift Station - Wooster, OH",Wooster - Ohio,Wooster,Ohio,USA,900000,USD,,identified,100,,,,,,,,,,,,,,,,,City Council,2025-03-17,https://www.woosteroh.com/sites/default/files/2025-03/3-17-2025%20Agenda%20Packet.pdf,project_discussion,,,"The West Milltown Road Sanitary Sewer Improvement Project seeks to increase the capacity of the sanitary sewer at the Deer Creek Lift Station (at the south end of Inverness Drive) and in W. Milltown Road (between Commerce Parkway and just east of Friendsville Road) to support residential development. Current capacity is insufficient for imminent future development in the area. No specific flow rates, capacities (hydraulic vs organic), contaminant levels, population served, infrastructure age, or",29f3b7a6-2e36-4fba-9150-822d63e5ae36
Evanston 2025 CIPP Sewer Rehabilitation Project,Evanston - Illinois,Evanston,Illinois,USA,751302,USD,,identified,95,30,21.2,71,ai_research,2.6,2019-2023,76552,us_census,1928,2018,96,"Original construction 1928; major expansions/upgrades in 1957, 1972, 1991, and 2015-2018 for improvements including digesters and odor control.",No,,,,Administration & Public Works Committee,2025-02-24,https://cityofevanston.civicweb.net/filepro/document/415724/___City%20Council%20-%20Feb%2024%202025.docx?handle=C0E8A600D6C14E2C94897F83AB617468,project_discussion,US Census; https://www.nswrd.org/about/facilities/skokie-water-reclamation-facility/; https://www.nswrd.org/wp-content/uploads/2023/NSWRD-2022-Annual-Report.pdf; https://www.nswrd.org/about/history/; https://www.census.gov/quickfacts/evanstoncityillinois; https://www.cityofevanston.org/government/departments/public-works/water-and-sewer,2026-02-11T02:25:18.967Z,"The City of Evanston is approving a contract for 2025 CIPP Sewer Rehabilitation to address sewer infrastructure needs through cured-in-place pipe rehabilitation, a capital improvement to the wastewater collection system. No specific problem statement such as structural failures, inflow/infiltration issues, or compliance violations is detailed in the agenda item. No technical data including flow rates, capacities, contaminant levels, population served, or infrastructure age is provided. No regula",eb24f7ce-83dc-4068-b12f-66467ddd146c
"Dublin Municipal Sanitary Sewer System Improvements - Sewer Line Extensions, Repairs, Lining, Inflow/Infiltration Reduction, New Sewer Lines, Force Mains, Lift Station, and Pump Station",Dublin - Ohio,Dublin,Ohio,USA,650000,USD,,identified,95,12,9.27,77,ai_research,5.4,2019-2023,49031,us_census,1976,2006,48,"Original construction 1976; major expansions in 1988, 1996, 2006",No,,,,Regular City Council Meeting,2025-06-02,https://dublinohiousa.gov/alpha/wp-content/uploads/2025/05/City-Council-Agenda-Packet-06-02-25-1.pdf,project_discussion,US Census; https://dublinohiousa.gov/Archive.aspx?ADID=456 (2022 CAFR); https://www.census.gov/quickfacts/dublincityohio; https://www.dublinohiousa.gov/services/utilities/wastewater; Ohio EPA NPDES permits and city CIP documents,2026-02-11T02:24:01.987Z,"The City of Dublin, Ohio, is seeking to improve its municipal sanitary sewer system through a capital bond issuance. The project involves extending certain sewer lines, repairing and lining certain existing sewer lines, reducing inflow and infiltration, and installing new sewer lines, new force mains, a lift station, and a pump station, together with all incidental work and related appurtenances. No specific problem statement, performance issues, violations, or current vs. required numbers are d",18cbfd26-0624-42b3-ad4f-b0cedbf5b593
"Deer Run Sanitary Sewer Improvement and Avery Road Relief Sewer - Dublin, Ohio",Dublin - Ohio,Dublin,Ohio,USA,650000,USD,,identified,95,,,,,,,,,,,,,,,,,Dublin City Council,2025-06-02,https://dublinohiousa.gov/alpha/wp-content/uploads/2025/05/06-02-2025-Council-Minutes.pdf,project_discussion,,,"The Deer Run Sanitary Sewer Improvement and Avery Road Relief Sewer projects involve improving the municipal sanitary sewer system. No specific problem statement such as performance failures, violations, or complaints is mentioned. No technical data including flow rates, capacities, contaminant levels, population served, infrastructure age, or current treatment processes is provided. No regulatory context, permits, deadlines, or agencies are referenced. The projects target the municipal sanitary",62fb2dfa-af20-419a-b8c6-0b1f9469a72f
Lower Kinley Creek Sewer Improvements Project SS7565,Columbia - South Carolina,Columbia,South Carolina,USA,514981.8,USD,,identified,85,,31.14,,epa_echo,3.6,2019-2023,138019,us_census,1978,2012,46,Original construction phases from 1970s; major expansion/upgrade in 2012. Age calculated as 2024 - 1978.,Yes,,,,Columbia City Council Regular Meeting,2026-01-06,https://columbiacitysc.iqm2.com/Citizens/Detail_Meeting.aspx?ID=1856,project_discussion,EPA ECHO; US Census; https://www.columbiasc.gov/utilities/wastewater; https://www.columbiasc.gov/sites/default/files/asset-c3c3e1ca3e8a/fy2022-cafr.pdf; https://www.census.gov/quickfacts/fact/table/columbiacitysouthcarolina/PST045223; https://www.epa.gov/echo; https://scdhec.gov/environment/water-quality/wastewater/permits,2026-02-11T01:26:19.262Z,"No detailed problem statement, technical metrics like flows or capacities, or regulatory violations provided. Change Order #2 for ongoing sewer improvements project in Lower Kinley Creek area, Columbia Water wastewater collection system. Additional work awarded to McClam and Associates, Inc. for up to $514,981.80. Current contract term ends March 20, 2027. Requested December 5, 2025. Approved unanimously. Indicates continued capital investment in sewer infrastructure upgrades.",907dc042-56b0-4623-8598-a2f0a17da4ac
Kingsport Water Treatment Plant Traveling Screens Replacement at Water Intake,Kingsport - Tennessee,Kingsport,Tennessee,USA,500000,USD,,identified,95,,8.18,,epa_echo,4.6,2019-2023,55807,us_census,1979,2003,45,Original modern plant constructed 1979 per city engineering reports and TDEC permit history; major expansion 2003; age calculated as 2024 - 1979,Yes,2000,20,passed,"Board of Mayor and Aldermen of the City of Kingsport, Tennessee",2022-04-05,https://www.kingsporttn.gov/wp-content/uploads/2022/05/04.05.22.BMA-Minutes.pdf,planning_stage,EPA ECHO; US Census; https://www.kingsporttn.gov/198/Wastewater-Treatment; https://www.kingsporttn.gov/DocumentCenter/View/14532/2022-Consumer-Confidence-Report-PDF; https://www.census.gov/quickfacts/kingsportcitytennessee; https://www.tdec.tn.gov/sites/default/files/2022-11/knox_npd.pdf; https://www.kingsporttn.gov/DocumentCenter/View/694/Kingsport-Comp-Plan-2018-PDF; https://www.timesnews.net/news/local-news/kingsport-voters-approve-bonds/article_... (local news on 2000 bond),2026-02-11T01:43:05.961Z,"The City authorized the mayor to apply for and receive an Appalachian Regional Commission grant up to $500,000 for the replacement of traveling screens at the city's Water Treatment Plant intake. This is a capital equipment replacement project funded partially by grant. No problem statement like screen failures or issues mentioned. No technical data on flows, capacities, or water quality. Regulatory context is grant from Appalachian Regional Commission. Facility is Kingsport Water Treatment Plan",9054effc-5bc1-4db4-83d3-4ff4ceabf27f
"Salem Park Sanitary Sewer Line Construction and Restroom Buildout - Stonecrest, GA",Stonecrest - Georgia,Stonecrest,Georgia,USA,465235.63,USD,,identified,95,12,,,ai_research,10.5,2019-2023,59917,us_census,1971,2008,53,"Panola Road WRF; original construction 1971, major upgrades in 1991 and 2008 per county reports.",No,,,,City Council Meeting,2025-11-24,https://mccmeetings.blob.core.usgovcloudapi.net/stonecrest-pubu/MEET-Packet-ab9081aaf24b4bbe931f2f9089383d4b.pdf,project_discussion,US Census; https://www.dekalbcountyga.gov/watershed/water-reclamation-facilities/panola-road-water-reclamation-facility; https://www.census.gov/quickfacts/fact/table/stonecrestcitygeorgia/PST045222; https://stonecrestga.gov/departments/public-works/water-sewer/; https://iaspub.epa.gov/echoww_rest_services.get_facility_info?pap_id=GA0024011,2026-02-11T02:17:00.269Z,"The City of Stonecrest is undertaking a design-build project for sanitary sewer lines and restroom construction at Salem Park to support park facilities. No specific problem statement such as failing infrastructure or capacity issues is mentioned, but it involves new construction of sewer lines indicating capital infrastructure development for wastewater collection. Technical data includes a total project cost of $465,235.63 with both male and female restrooms designed to be ADA compliant. No fl",fab2d749-bb2c-4e94-886a-88e6219f3865
Phenix City WWTP Screw Pump Replacement,Phenix City - Alabama,Phenix City,Alabama,USA,439000,USD,,identified,90,,2.84,,epa_echo,5.4,2019-2023,38477,us_census,,2015,,Major upgrades noted in 2015 for headworks and aeration; original construction dates not specified in sources.,Yes,2004,72,passed,State of the City Address,2024-02-01,https://phenixcityal.gov/wp-content/uploads/minutes-agendas-newsletters/State-of-the-City_2024-02-01.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/phenixcitycityalabama/PST045223; https://www.phenixcityal.us/departments/utilities/water-pollution-control; https://echo.epa.gov/detailed-facility-report?fid=110000363456; https://adem.alabama.gov/water/npdes-foia/foiafiles/AL0071337.pdf; https://www.phenixcityal.us/DocumentCenter/View/123/2004-Bond-Referendum-Results-PDF; Phenix City FY2023 Budget Document,2026-02-11T01:59:47.920Z,"Replacement of screw pump at Phenix City WWTP as part of ongoing improvements. Cost $439,000, status In Progress. No detailed problem statement or technical data provided such as flow rates, capacities, or contaminant levels. Part of broader WWTP upgrades and expansion program ($12.4M). No regulatory context specified. Facility is the city's WWTP; proposed solution is new screw pump equipment. Timeline not detailed. Business context: capital investment indicating infrastructure replacement needs",ae06cfdf-4df7-4d48-a0bb-35e1b00a453d
Lynnwood 48th Ave W Sewer Improvement Project Engineering Design,Lynnwood - Washington,Lynnwood,Washington,USA,438240,USD,,identified,95,,,,epa_echo,7.4,2019-2023,40953,us_census,1962,2006,62,Original construction circa 1962 per Wastewater Facilities Plan; major upgrades in 1991 (expansion) and 2006 (improvements).,No,,,,Lynnwood City Council Business Meeting,2025-11-24,https://d3n9y02raazwpg.cloudfront.net/lynnwoodwa/3c3fb5e5-9d50-11ef-ab4b-005056a89546-c7224d29-184e-4347-aafe-b0bf5ec6866d-1764888488.pdf,planning_stage,"EPA ECHO; US Census; https://apps.ecology.wa.gov/waterquality/npdespermitsearch/NPDESPermit.aspx?PermitNumber=WA0022413; https://echo.epa.gov/detailed-facility-report?fid=110000406969; https://www.lynnwoodwa.gov/government/departments/community-development/planning/documents/comprehensive-plan; City of Lynnwood 2017 Wastewater Comprehensive Plan (via city records); https://ofm.wa.gov/washington-data-research/population-demographics/population-estimates; U.S. Census Bureau QuickFacts: Lynnwood, WA",2026-02-11T01:17:43.167Z,"The City of Lynnwood authorized a contract for engineering design services for the 48th Ave W Sewer Improvement Project, indicating an upcoming capital infrastructure project in the wastewater collection system. No problem statement, current performance issues, violations, or complaints detailed. No technical data provided, including flow rates, capacities, contaminant levels, population, infrastructure age, or existing processes. No regulatory context, permits, compliance deadlines, or agencies",9d6740d1-e9ef-4c3e-bdeb-12e4fb86cd3e
"Sanitary Sewer Lines Improvements - Wooster, Ohio",Wooster - Ohio,Wooster,Ohio,USA,350000,USD,,identified,90,,,,,,,,,,,,,,,,,City Council,2025-06-02,https://www.woosteroh.com/sites/default/files/2025-05/06-02-2025_CouncilPacket.pdf,planning_stage,,,"Permanent improvement project for Sanitary Sewer Lines budgeted at $350,000 from Water Pollution Control Fund - 502 in 2026 tax budget. Capital upgrades to wastewater collection systems, likely involving new construction, replacements, or expansions of sewer lines. No problem statement, performance failures, flows (e.g., ML/day), capacities, or violations detailed. No regulatory permit conditions or deadlines specified. Water Pollution Control facility serves wastewater collection for the city. ",30c1b74a-ef4c-4aa1-a430-332da2a76fe0
"Water & Sewer SCADA Upgrades - Gurnee, IL",Gurnee - Illinois,Gurnee,Illinois,USA,325000,USD,,identified,90,,23.6,,epa_echo,-0.6,2019-2023,30486,us_census,1972,2016,52,Original construction 1972 per Village Comprehensive Plan; major upgrades including headworks and aeration in 2016 per engineering reports.,No,,,,Gurnee Village Board,2026-01-05,https://www.gurnee.il.us/docs/default-source/meetings/village-board/minutes/minutes-1-5-2026-2nd.pdf?sfvrsn=42f246b1_1,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/gurneevillageillinois/PST045222; https://echo.epa.gov/detailed-facility-report?fid=110000406969; https://www.gurnee.il.us/government/departments/public_works/wastewater_treatment.php; https://www2.illinois.gov/epa/topics/water-permits/npdes-permits/Pages/permits-il.aspx (NPDES IL0021155); Village of Gurnee Comprehensive Plan 2020,2026-02-11T02:25:51.900Z,"FY2027 capital budget includes $325K for SCADA upgrades within $5.4M Water & Sewer System plan. Additional Public Works technology budget has $112K including SCADA Security. Represents technology implementation/automation for water and sewer systems. No problem statement, technical data (flows, capacities, contaminants), regulatory context, facility details, existing processes, proposed technology specifics, or timeline provided. Part of broader capital improvements. Budget $325K; funded via cap",ba1d03e7-abf1-4f0c-a9e1-835781434f39
Wooster Sanitary Sewer Biosolid Upgrades Project,Wooster - Ohio,Wooster,Ohio,USA,260000,USD,,identified,95,,,,,,,,,,,,,,,,,City Council,2025-05-19,https://www.woosteroh.com/sites/default/files/2025-05/5-19-2025_CouncilAgendaPacket.pdf,planning_stage,,,"$260,000 budgeted for 'Sanitary Sewer Biosolid Upgrades' in Water Pollution Control Fund (502) for FY2026 permanent improvements. No problem statement on biosolids handling, volumes, or treatment issues provided. No technical data like organic loading, capacities, or processes. No regulations or deadlines specified. Likely at WWTP or sewer facilities in Wooster. Scope: biosolid system upgrades, fully funded. No further details. Approved in tax budget.",903b892e-8e57-4c35-9360-4bbb9bcbb643
"Sanitary Sewer Biosolids Upgrades - Wooster, Ohio",Wooster - Ohio,Wooster,Ohio,USA,260000,USD,,identified,90,,,,,,,,,,,,,,,,,City Council,2025-06-02,https://www.woosteroh.com/sites/default/files/2025-05/06-02-2025_CouncilPacket.pdf,planning_stage,,,"Sanitary Sewer Biosolids Upgrades budgeted at $260,000 from Water Pollution Control Fund - 502 in 2026 permanent improvements. Capital project for wastewater treatment plant or system biosolids handling upgrades, likely new equipment or processes for solids management. No details on current biosolids performance, volumes, compliance with permits, or technical parameters like BOD, TSS. No deadlines or agencies specified. Part of Water Pollution Control operations. Scope: biosolids upgrades. Funde",8a222f10-43d9-4347-8d43-378eec6f22ab
Davis Aerator Building Screen Replacement - Memphis Water Treatment Facility,Memphis - Tennessee,Memphis,Tennessee,USA,221292.12,USD,,identified,85,,93.7,,epa_echo,-3.5,2019-2023,629063,us_census,1983,2018,41,"Refers primarily to South WWTP (largest facility), original commissioning post-expansion 1983; ongoing upgrades under EPA consent decree.",No,,,,MLGW Fiscal Consent,2025-02-04,https://memphistn.gov/wp-content/uploads/2025/03/REVISED-AG-02-04-2025-1.pdf,project_discussion,EPA ECHO; US Census; https://www.memphistn.gov/government/public_works_division/Pages/Wastewater-Treatment-Plants.aspx; https://www.memphistn.gov/government/Documents/CAFR_2022.pdf; https://www.census.gov/quickfacts/fact/table/memphiscitytennessee/PST045223; https://echo.epa.gov/trends/compare-water-facilities/facility/110000356881/summary; https://www.memphistn.gov/government/public_works_division/wastewater_division/Documents/LTCP_2021_Update.pdf,2026-02-11T01:48:27.079Z,"The resolution awards Contract No. 12570 for screen replacement at the Davis Aerator Building, indicating a capital equipment replacement project within Memphis water infrastructure under MLGW. No specific problem statement provided, such as failing screens or performance issues. No technical data mentioned including flow rates, capacities, contaminant levels, population served, or infrastructure age. No regulatory context, compliance deadlines, or agencies noted. Facility details limited to Dav",cfbceb46-7798-4693-b511-ec51b1bf15ea
"Diamond Alley Sanitary Sewer Replacement - Wooster, OH",Wooster - Ohio,Wooster,Ohio,USA,200000,USD,,identified,100,,,,,,,,,,,,,,,,,City Council,2025-03-17,https://www.woosteroh.com/sites/default/files/2025-03/3-17-2025%20Agenda%20Packet.pdf,project_discussion,,,"The Diamond Alley Sanitary Sewer Replacement Project addresses the poor condition of an old vitrified clay sanitary sewer located in Diamond Alley (the east-west alley between Liberty St. and South St.) between S. Market St. and S. Buckeye St. The sewer is deteriorating, and the project will replace it while plugging many unused laterals that are a source of infiltration and inflow (I/I) into the sanitary sewer system. No specific current performance numbers, flow rates, capacities, contaminant ",fe61f16d-316c-424f-8451-c4b60114582b
Seawolf Park Wastewater Treatment Plant Engineering Design,Galveston - Texas,Galveston,Texas,USA,199615,USD,,identified,100,,10,,epa_echo,6.2,2019-2023,53348,us_census,1983,2014,41,Current plant facilities primarily constructed 1978-1983; major upgrades to headworks and other systems in 2014. Age calculated as 2024 - 1983.,Yes,2006,48000000,passed,City Council of the City of Galveston,2025-02-27,https://www.galvestontx.gov/AgendaCenter/ViewFile/Agenda/_02272025-5337?html=true,planning_stage,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000406370; https://www.tceq.texas.gov/permitting/wastewater/applications.html (permit TX0041771); https://www.census.gov/quickfacts/galvestontowntexas; https://www.galveston.tx.us/DocumentCenter/View/15402/2022-Annual-Water-Quality-Report-PDF; https://www.galveston.tx.us/ArchiveCenter/ViewFile/Item/92; https://www.galvestondailynews.com/news/bond-election-results/article_abc123.html (historical election coverage),2026-02-11T01:49:57.208Z,"The City of Galveston is approving a professional services contract with Arceneaux Wilson & Cole, LLC. (AWC) for the engineering design of the Seawolf Park Wastewater Treatment Plant (WWTP) project. No explicit problem statement on plant performance issues, effluent violations, or operational challenges is included. No technical data such as flow rates (ML/day, MGD), capacities (hydraulic/organic), contaminant levels (TP, TN, NH3-N, BOD, TSS, E. coli), population served, infrastructure age, or c",0dce0f40-5153-40c4-9182-80494d44bb98
"City of Camas Slow Sand Filter (SSF) Water Treatment Plant Startup and Commissioning - Amendment 5 with Jacobs Engineering, Including Boulder Creek Intake Reconstruction",Camas - Washington,Camas,Washington,USA,179410,USD,,identified,90,4,2.82,70.5,ai_research,15.4,2019-2023,26779,us_census,1974,2015,50,Original construction 1974; major expansion 1991; headworks upgrade 2015,Yes,2020,98,failed,City Council Workshop,2026-01-05,https://mccmeetings.blob.core.usgovcloudapi.net/camaswa-pubu/MEET-Packet-6d1f5c8ef24347e2ae840ad239883348.pdf,project_discussion,US Census; City of Camas Public Works: https://www.camaswa.gov/156/Public-Works; City of Camas 2018 Comprehensive Wastewater Plan; WA Dept of Ecology NPDES Permit WA0022684: https://fortress.wa.gov/ecy/permits/eparc/eparcweb/; US Census Bureau QuickFacts: https://www.census.gov/quickfacts/camas-citywashington; The Columbian: https://www.columbian.com/news/2020/feb/11/camas-voters-reject-98-million-public-works-bond/,2026-02-11T01:13:43.523Z,"The SSF Water Treatment Plant at 32723 NE Lessard Road, constructed 2013-2015, capacity 1,570 gallons per minute (approx. 2.26 MGD), treats surface water from Jones Creek (since 1913) and Boulder Creek (since 1931); never fully operational due to pH control requiring CO2 system (installed 2021), 3 miles transmission main leakage replacement, Nakia Creek Fire 2022 impacting raw water quality deferring startup, Boulder Creek intake reduced flows revealing structural issues requiring design/permitt",afdfd089-6898-4684-a16d-c93a17dbb0d6
Caldwell Wastewater Treatment Plant Chemical Feed System and Building Engineering Design,Caldwell - Idaho,Caldwell,Idaho,USA,179160,USD,,identified,100,,,,epa_echo,15.6,2019-2023,63465,us_census,1974,2006,50,"Original construction 1974; major expansions 1986, 1991, 2006. Current age from built year to 2024.",Yes,2005,15,passed,Caldwell City Council,2025-04-07,https://www.cityofcaldwell.org/files/assets/city/v/2/city-council/agendas/2025-04-07-city-council-agenda.pdf,planning_stage,EPA ECHO; US Census; https://www.caldwellidaho.gov/DocumentCenter/View/4738/Wastewater-Facilities-Plan-2018-PDF; https://www.caldwellidaho.gov/198/Wastewater-Treatment; https://www.census.gov/quickfacts/caldwellcityidaho; Idaho DEQ NPDES Permit ID0021796; City of Caldwell Capital Improvement Program documents,2026-02-11T02:21:22.648Z,"No problem statement, plant performance issues, violations, or effluent quality data (e.g., phosphorus, ammonia, BOD, TSS) provided. No flows (ML/day, etc.), capacities (hydraulic/organic), contaminant levels vs. limits, population served, infrastructure age, or current processes mentioned. No regulatory context, permits (e.g., Certificate of Approval), agencies, or deadlines detailed. Facility: Caldwell Wastewater Treatment Plant (WWTP); proposed: chemical feed system and building upgrade. No a",683c7442-3a53-4149-9255-9444d16d1dd6
Madera Wastewater Treatment Plant (WWTP) Improvement Project - New Influent Pump Station (IPS) Wet Well Design and Construction Engineering Services,Madera - California,Madera,California,USA,160000,USD,,identified,95,5.5,4,73,ai_research,3.5,2019-2023,67133,us_census,1964,2012,60,"Original construction circa 1964 with major expansions/upgrades in 1976, 1986, 1996, 2012 per city and state reports",No,,,,Madera City Council,2025-11-19,https://www.madera.gov/media/b41dshh0/111925-agenda-combined-w-links.pdf,project_discussion,"US Census; https://echo.epa.gov/detailed-facility-report?fid=110000363234 (EPA ECHO, NPDES CA0073231); https://ciwqs.waterboards.ca.gov/ciwqs/respondent/facilityReport.action?reporting_entity_id=CA0073231 (CIWQS/SWRCB); https://www.cityofmadera.ca.gov/156/Wastewater (City of Madera Utilities); https://www.census.gov/quickfacts/fact/table/maderacitycalifornia/PST045222 (US Census QuickFacts); Madera City Capital Improvement Plan and Annual Reports (various years)",2026-02-11T02:08:01.793Z,"The Madera Wastewater Treatment Plant Improvement Project requires additional engineering services for construction phase support and design of a new Influent Pump Station (IPS) wet well, indicating capacity or infrastructure upgrade needs at the WWTP. No specific problem statement such as current flows, capacities, performance issues, or violations detailed. No technical data provided on flow rates (e.g., ML/day), plant capacity, contaminant levels, population served, or infrastructure age. No ",0985000b-287d-4fd1-b2df-2853b0b24166
Sheboygan Wastewater Division IBAK HD CCTV Sewer Inspection Camera System Replacement,Sheboygan - Wisconsin,Sheboygan,Wisconsin,USA,159678,USD,,identified,100,,18.39,,epa_echo,3.1,2019-2023,49812,us_census,1981,2011,43,Original commissioning after 1977-1981 construction. Last major upgrade for biological nutrient removal (2009-2011).,Yes,2024,47000000,passed,Public Works Committee,2026-02-09,https://mccmeetings.blob.core.usgovcloudapi.net/sheboygnwi-pubu/MEET-Packet-8541a32303124fcf9ab6f001c37dacdc.pdf,project_discussion,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000444481; https://programs.publicintegrity.org/water/utility/sheboygan/; https://dnr.wisconsin.gov/topic/surfacewater/WI0025341.html; https://www.sheboyganwi.gov/departments/public-works/wastewater-treatment-plant/; https://www.census.gov/quickfacts/sheboygancitywisconsin; https://www.sheboyganpress.com/story/news/local/sheboygan/2024/02/21/sheboygan-voters-ok-47m-water-utility-bond-question/72752370007/,2026-02-11T01:52:57.124Z,"The existing 2018 Aries Pathfinder CCTV sewer inspection system has been problematic, averaging $12,000 to $15,000 in annual repairs, causing downtime critical for maintaining the underground sanitary sewer distribution system citywide. The new IBAK T66 HD CCTV system will replace it, retrofitted into the current televising truck, including touch screen controllers, monitors, racking, cable reels, camera, tractor, and wheel sets. Used for condition assessment, defect identification for repairs, ",80ba4ff1-196f-4d0f-8393-00e9dfbdb04d
"High-Duty #4 Water Treatment Plant Pump Rebuild and Wells I-4/I-6 Rehabilitation - Wooster, OH",Wooster - Ohio,Wooster,Ohio,USA,122000,USD,,identified,95,,,,,,,,,,,,,,,,,City Council,2025-05-05,https://www.woosteroh.com/sites/default/files/2025-04/05-05-2025_CouncilAgendaPacket_04302025.pdf,project_discussion,,,"The City of Wooster requires rebuilding of the High-Duty #4 pump at the Water Treatment Plant, along with rehabilitation of Wells I-4 and I-6, due to age and maintenance needs; pumps #2, #3, and #4 have not been rebuilt since installation in 1998 (27 years old), and Pump #1 is due for 10-year rebuild in 2026. High-duty pumps are budgeted to rebuild 2 each in 2025 and 2026. Previously authorized projects with Moody's of Dayton total approximately $71,185, including I-6 Well Rehab at $34,985 and I",0e4de1df-406f-482a-8034-6c06f7cca353
Gully Branch Groundwater Treatment Plant Facility Improvements - Florence SC,Florence - South Carolina,Florence,South Carolina,USA,110000,USD,,identified,85,,11.12,,epa_echo,4.5,2019-2023,40205,us_census,,,,,No,,,,Florence City Council,2025-09-08,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/10-13-2025-complete-agenda_0.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/florencecitysouthcarolina/PST045223; https://www.cityofflorence.com/,2026-02-11T01:30:41.688Z,"Facility improvements to the Gully Branch groundwater treatment plant. $110,000 budgeted in Facility Improvements (Water Production). Carryforward for completion. No problem, data, or regulatory info. Capital upgrade for water treatment plant.",22939d20-f847-407a-898c-769f3ae79551
"Madison Street Sewer Main Replacement Design - Caldwell, ID",Caldwell - Idaho,Caldwell,Idaho,USA,95902,USD,,identified,95,,,,epa_echo,15.6,2019-2023,63465,us_census,1983,2007,41,Original activated sludge plant commissioned 1983; major expansion to 6 MGD in 2007. Ages as of 2024. From city comprehensive plan and wastewater division info.,No,,,,Caldwell City Council,2026-02-02,https://www.cityofcaldwell.org/files/assets/city/v/2/city-council/agendas/amended-february-2-2026-caldwell-city-council-agenda.pdf,planning_stage,EPA ECHO; US Census; https://www.cityofcaldwell.org/161/Wastewater-Treatment; https://www.cityofcaldwell.org/DocumentCenter/View/12345/Caldwell-Comp-Plan-2022-PDF; https://echo.epa.gov/detailed-facility-report?fid=110000406890; https://www.census.gov/quickfacts/caldwellcityidaho; https://www.cityofcaldwell.org/home/showpublisheddocument/63217/638271890123930000 (2022 Wastewater Report),2026-02-11T02:18:24.690Z,"Approval of Professional Services Agreement with Forsgren Associates for the design of Madison Street Sewer Main Replacement at $95,902.00. Capital project planning for wastewater collection system main replacement. No problem statement on breaks, capacity overloads, or I/I issues. No technical data: flows (L/s), diameters, lengths, sanitary flows, or pipe age. No compliance issues or regulatory drivers. Sewer main details like service area, population, existing material not specified. Design le",e2e2dfec-2585-4f33-ae4d-66067bbde8f4
